Nome;Categoria;Kcal_per_100g
Bulgur, secco;Prodotti a base di cereali, legumi e patate/Cereali;342
Grano saraceno, secco;Prodotti a base di cereali, legumi e patate/Cereali;343
Amaranto, secco;Prodotti a base di cereali, legumi e patate/Cereali;371
Patate, bollite;Prodotti a base di cereali, legumi e patate/Patate;86
Patate, fritte;Prodotti a base di cereali, legumi e patate/Patate;312
Purea di patate (preparata con latte);Prodotti a base di cereali, legumi e patate/Patate;105
Fave, secche;Prodotti a base di cereali, legumi e patate/Legumi;341
Lupini, cotti;Prodotti a base di cereali, legumi e patate/Legumi;107
Edamame, cotti;Prodotti a base di cereali, legumi e patate/Legumi;121
Fagioli borlotti, secchi;Prodotti a base di cereali, legumi e patate/Legumi;337
Fagioli cannellini, secchi;Prodotti a base di cereali, legumi e patate/Legumi;329
Piselli, secchi;Prodotti a base di cereali, legumi e patate/Legumi;338
Ceci, secchi;Prodotti a base di cereali, legumi e patate/Legumi;339
Farina di grano tenero;Prodotti a base di cereali, legumi e patate/Farine e amidi;367
Farina integrale;Prodotti a base di cereali, legumi e patate/Farine e amidi;340
Farina di mais;Prodotti a base di cereali, legumi e patate/Farine e amidi;364
Polenta, secca;Prodotti a base di cereali, legumi e patate/Farine e amidi;362
Pecorino romano;Latte e prodotti di latte/Formaggio a pasta dura;420
Pecorino sardo;Latte e prodotti di latte/Formaggio a pasta dura;395
Fiore sardo;Latte e prodotti di latte/Formaggio a pasta dura;395
Grana padano;Latte e prodotti di latte/Formaggio a pasta dura;398
Provolone;Latte e prodotti di latte/Formaggio a pasta dura;360
Asiago;Latte e prodotti di latte/Formaggio a pasta dura;386
Montasio;Latte e prodotti di latte/Formaggio a pasta dura;380
Taleggio;Latte e prodotti di latte/Formaggio a pasta molle;310
Camembert;Latte e prodotti di latte/Formaggio a pasta molle;310
Brie;Latte e prodotti di latte/Formaggio a pasta molle;340
Fontina;Latte e prodotti di latte/Formaggio a pasta molle;389
Scamorza;Latte e prodotti di latte/Formaggio a pasta molle;309
Mascarpone;Latte e prodotti di latte/Formaggio fresco e quark;460
Crescenza;Latte e prodotti di latte/Formaggio fresco e quark;290
Caprino fresco;Latte e prodotti di latte/Formaggio fresco e quark;260
Ricotta di pecora;Latte e prodotti di latte/Formaggio fresco e quark;170
Yogurt greco;Latte e prodotti di latte/Yogurt e latte acidulato;97
Yogurt magro;Latte e prodotti di latte/Yogurt e latte acidulato;46
Latte intero;Latte e prodotti di latte/Latte;64
Latte scremato;Latte e prodotti di latte/Latte;35
Latte di capra;Latte e prodotti di latte/Latte;69
Panna montata;Latte e prodotti di latte/Panna e burro;292
Burro;Latte e prodotti di latte/Panna e burro;717
Salsiccia di suino fresca;Prodotti carnei e insaccati/Insaccati crudi;320
Salsiccia di pollo;Prodotti carnei e insaccati/Insaccati crudi;210
Speck;Prodotti carnei e insaccati/Insaccati crudi;256
Salame;Prodotti carnei e insaccati/Insaccati crudi;400
Coppa;Prodotti carnei e insaccati/Insaccati crudi;340
Culatello;Prodotti carnei e insaccati/Insaccati crudi;320
Lardo;Prodotti carnei e insaccati/Insaccati crudi;880
Guanciale;Prodotti carnei e insaccati/Insaccati crudi;655
Wurstel;Prodotti carnei e insaccati/Insaccati cotti;280
Pollo, petto, crudo;Carne e frattaglie/Pollame;105
Pollo, coscia, crudo;Carne e frattaglie/Pollame;140
Pollo, ala, cruda;Carne e frattaglie/Pollame;175
Tacchino, petto, crudo;Carne e frattaglie/Pollame;105
Tacchino, coscia, cruda;Carne e frattaglie/Pollame;131
Fesa di tacchino, arrosto;Prodotti carnei e insaccati/Insaccati cotti;95
Manzo, magro, crudo;Carne e frattaglie/Manzo;130
Manzo, grasso, crudo;Carne e frattaglie/Manzo;200
Vitello, magro, crudo;Carne e frattaglie/Vitello;115
Vitello, grasso, crudo;Carne e frattaglie/Vitello;180
Agnello, coscia, cruda;Carne e frattaglie/Agnello, pecora;174
Agnello, costato, crudo;Carne e frattaglie/Agnello, pecora;220
Coniglio, carne, cruda;Carne e frattaglie/Selvaggina;148
Cavallo, carne, cruda;Carne e frattaglie;125
Cinghiale, carne, cruda;Carne e frattaglie/Selvaggina;117
Fegato di vitello, crudo;Carne e frattaglie/Frattaglie;135
Fegato di pollo, crudo;Carne e frattaglie/Frattaglie;119
Trippa, cruda;Carne e frattaglie/Frattaglie;53
Orata, cruda;Pesce/Pesci di mare;89
Branzino (spigola), crudo;Pesce/Pesci di mare;94
Sgombro, crudo;Pesce/Pesci di mare;205
Sardina, cruda;Pesce/Pesci di mare;130
Sogliola, cruda;Pesce/Pesci di mare;77
Trota, cruda;Pesce/Pesci d'acqua dolce;120
Baccalà, ammollato;Pesce/Pesci di mare;81
Polpo, crudo;Pesce/Frutti di mare e crostacei;57
Seppia, cruda;Pesce/Frutti di mare e crostacei;79
Cozze, crude;Pesce/Frutti di mare e crostacei;90
Vongole, crude;Pesce/Frutti di mare e crostacei;83
Ostriche, crude;Pesce/Frutti di mare e crostacei;68
Cozze sgusciate, cotte;Pesce/Frutti di mare e crostacei;150
Pizza margherita;Piatti pronti/Pizza e focacce;260
Pizza napoletana;Piatti pronti/Pizza e focacce;250
Pizza quattro formaggi;Piatti pronti/Pizza e focacce;280
Focaccia;Piatti pronti/Pizza e focacce;320
Lasagna al forno;Piatti pronti/Pasta ripiena e torte salate;165
Ravioli, freschi;Piatti pronti/Pasta ripiena e torte salate;180
Tortellini, freschi;Piatti pronti/Pasta ripiena e torte salate;200
Risotto ai funghi;Piatti pronti/Primi piatti;130
Risotto alla milanese;Piatti pronti/Primi piatti;140
Risotto allo zafferano;Piatti pronti/Primi piatti;145
Polenta, cotta;Prodotti a base di cereali, legumi e patate/Farine e amidi;82
Tiramisù;Dolciumi/Dolci al cucchiaio;380
Panna cotta;Dolciumi/Dolci al cucchiaio;320
Cannolo siciliano;Dolciumi/Altre pasticceri dolci;340
Gelato alla crema;Dolciumi/Gelati;210
Gelato al cioccolato;Dolciumi/Gelati;230
Gelato alla frutta;Dolciumi/Gelati;140
Sorbetto al limone;Dolciumi/Gelati;130
Croissant vuoto;Dolciumi/Altre pasticceri dolci;420
Croissant alla crema;Dolciumi/Altre pasticceri dolci;440
Cornetto integrale;Dolciumi/Altre pasticceri dolci;380
Biscotti secchi;Dolciumi/Altre pasticceri dolci;430
Biscotti frollini;Dolciumi/Altre pasticceri dolci;480
Caffè, amaro;Bevande analcoliche/Caffè e tè;2
Caffè con latte;Bevande analcoliche/Caffè e tè;30
Cappuccino;Bevande analcoliche/Caffè e tè;42
Tè, non zuccherato;Bevande analcoliche/Caffè e tè;1
Succo d'arancia;Bevande analcoliche/Succhi e bevande;44
Succo di mela;Bevande analcoliche/Succhi e bevande;46
Succo di pompelmo;Bevande analcoliche/Succhi e bevande;36
Succhi di frutta (in media);Bevande analcoliche/Succhi e bevande;42
Coca cola;Bevande analcoliche/Bibite gassate;42
Sprite;Bevande analcoliche/Bibite gassate;42
